,player,team,pass_recipient,x_start,y_start,x_end,y_end,pass_outcome
2,Nahuel Molina Lucero,Argentina,Rodrigo Javier De Paul,22.7,80.0,36.0,75.2,Complete
3,Rodrigo Javier De Paul,Argentina,Cristian Gabriel Romero,41.1,73.9,23.2,62.8,Complete
4,Cristian Gabriel Romero,Argentina,Nicolás Hernán Otamendi,24.7,59.4,21.5,32.2,Complete
5,Nicolás Hernán Otamendi,Argentina,Cristian Gabriel Romero,24.0,27.1,21.7,49.3,Complete
6,Cristian Gabriel Romero,Argentina,Nicolás Hernán Otamendi,22.1,49.8,24.0,27.3,Complete
7,Nicolás Hernán Otamendi,Argentina,Nicolás Alejandro Tagliafico,21.7,24.5,26.6,3.1,Complete
8,Nicolás Alejandro Tagliafico,Argentina,Alexis Mac Allister,29.2,2.5,45.6,4.2,Complete
9,Nicolás Alejandro Tagliafico,Argentina,Nicolás Hernán Otamendi,44.1,3.8,20.8,11.9,Complete
10,Nicolás Hernán Otamendi,Argentina,Cristian Gabriel Romero,21.7,17.7,19.7,33.3,Complete
11,Cristian Gabriel Romero,Argentina,Nicolás Hernán Otamendi,30.9,42.5,27.9,22.6,Complete
12,Nicolás Hernán Otamendi,Argentina,Cristian Gabriel Romero,29.8,29.2,27.0,45.9,Complete
13,Cristian Gabriel Romero,Argentina,Nicolás Hernán Otamendi,32.1,54.5,25.9,31.6,Complete
14,Nicolás Hernán Otamendi,Argentina,Damián Emiliano Martínez,24.7,29.0,5.6,42.3,Complete
15,Damián Emiliano Martínez,Argentina,,3.9,43.4,53.1,72.9,Incomplete
22,Nicolás Alejandro Tagliafico,Argentina,Alexis Mac Allister,72.6,0.1,69.6,7.6,Complete
23,Alexis Mac Allister,Argentina,Lionel Andrés Messi Cuccittini,67.4,20.7,77.5,36.9,Complete
24,Lionel Andrés Messi Cuccittini,Argentina,Ángel Fabián Di María Hernández,76.6,35.7,116.2,8.9,Complete
25,Ángel Fabián Di María Hernández,Argentina,,116.0,8.9,104.9,49.3,Incomplete
26,Rodrigo Javier De Paul,Argentina,Lionel Andrés Messi Cuccittini,93.1,53.2,100.4,57.7,Complete
27,Lionel Andrés Messi Cuccittini,Argentina,Rodrigo Javier De Paul,99.3,57.3,96.7,49.8,Complete
28,Rodrigo Javier De Paul,Argentina,Julián Álvarez,96.7,49.8,110.9,44.6,Pass Offside
31,Alexis Mac Allister,Argentina,Nicolás Hernán Otamendi,48.9,15.4,39.2,16.6,Complete
32,Nicolás Hernán Otamendi,Argentina,Cristian Gabriel Romero,37.4,19.2,26.0,29.3,Complete
33,Cristian Gabriel Romero,Argentina,Lionel Andrés Messi Cuccittini,27.4,29.9,64.2,43.6,Unknown
34,Rodrigo Javier De Paul,Argentina,Nicolás Hernán Otamendi,64.2,43.6,57.2,26.7,Complete
35,Nicolás Hernán Otamendi,Argentina,Enzo Fernandez,57.2,26.7,54.4,37.8,Complete
36,Enzo Fernandez,Argentina,Cristian Gabriel Romero,54.8,37.8,56.5,60.5,Complete
37,Cristian Gabriel Romero,Argentina,Nahuel Molina Lucero,56.1,61.3,67.9,73.5,Complete
38,Nahuel Molina Lucero,Argentina,Lionel Andrés Messi Cuccittini,68.9,74.4,79.0,59.8,Incomplete
40,Lionel Andrés Messi Cuccittini,Argentina,Cristian Gabriel Romero,67.9,59.0,49.0,60.3,Complete
41,Cristian Gabriel Romero,Argentina,Ángel Fabián Di María Hernández,50.5,58.1,89.3,3.6,Complete
42,Ángel Fabián Di María Hernández,Argentina,Nicolás Alejandro Tagliafico,89.5,3.4,82.4,7.4,Complete
43,Nicolás Alejandro Tagliafico,Argentina,Alexis Mac Allister,82.4,7.4,96.1,14.3,Complete
44,Alexis Mac Allister,Argentina,Ángel Fabián Di María Hernández,96.1,14.3,106.4,3.1,Complete
45,Nicolás Alejandro Tagliafico,Argentina,Alexis Mac Allister,108.9,0.1,93.1,5.7,Complete
46,Alexis Mac Allister,Argentina,Lionel Andrés Messi Cuccittini,87.8,7.6,82.6,35.0,Incomplete
50,Lionel Andrés Messi Cuccittini,Argentina,Rodrigo Javier De Paul,81.8,65.2,70.2,67.7,Complete
51,Rodrigo Javier De Paul,Argentina,Ángel Fabián Di María Hernández,84.6,49.8,103.6,15.5,Incomplete
56,Julián Álvarez,Argentina,Alexis Mac Allister,98.7,19.8,92.3,21.5,Complete
58,Enzo Fernandez,Argentina,,56.5,39.7,66.4,42.9,Incomplete
88,Rodrigo Javier De Paul,Argentina,Nahuel Molina Lucero,20.2,71.2,16.1,60.3,Complete
89,Nahuel Molina Lucero,Argentina,Lionel Andrés Messi Cuccittini,16.3,60.3,47.1,63.9,Incomplete
90,Enzo Fernandez,Argentina,Lionel Andrés Messi Cuccittini,34.3,50.2,38.8,53.4,Complete
91,Lionel Andrés Messi Cuccittini,Argentina,Alexis Mac Allister,39.2,48.1,65.3,35.4,Complete
92,Alexis Mac Allister,Argentina,Ángel Fabián Di María Hernández,75.8,26.9,94.2,14.1,Complete
93,Ángel Fabián Di María Hernández,Argentina,Alexis Mac Allister,98.5,10.2,92.9,11.3,Complete
94,Alexis Mac Allister,Argentina,Enzo Fernandez,89.5,12.3,84.1,21.3,Complete
95,Enzo Fernandez,Argentina,Alexis Mac Allister,88.0,23.9,93.7,20.3,Incomplete
96,Julián Álvarez,Argentina,Ángel Fabián Di María Hernández,110.6,17.9,106.4,12.3,Complete
97,Ángel Fabián Di María Hernández,Argentina,Rodrigo Javier De Paul,115.1,21.3,98.7,51.7,Complete
98,Lionel Andrés Messi Cuccittini,Argentina,,120.0,80.0,116.6,54.5,Incomplete
99,Rodrigo Javier De Paul,Argentina,Lionel Andrés Messi Cuccittini,95.2,65.6,107.9,72.9,Complete
100,Lionel Andrés Messi Cuccittini,Argentina,Rodrigo Javier De Paul,108.2,74.4,86.3,67.5,Complete
101,Rodrigo Javier De Paul,Argentina,,87.7,67.7,108.7,41.5,Incomplete
104,Nicolás Alejandro Tagliafico,Argentina,Julián Álvarez,31.9,16.6,51.6,26.5,Incomplete
108,Cristian Gabriel Romero,Argentina,Enzo Fernandez,35.6,33.9,39.4,30.5,Incomplete
109,Rodrigo Javier De Paul,Argentina,Alexis Mac Allister,31.5,28.8,42.0,22.2,Complete
110,Alexis Mac Allister,Argentina,Ángel Fabián Di María Hernández,41.8,22.0,44.8,3.6,Complete
111,Ángel Fabián Di María Hernández,Argentina,Nicolás Alejandro Tagliafico,43.9,2.7,31.1,5.3,Complete
112,Nicolás Alejandro Tagliafico,Argentina,Nicolás Hernán Otamendi,31.1,5.3,18.7,14.1,Complete
113,Nicolás Hernán Otamendi,Argentina,Damián Emiliano Martínez,18.0,14.7,6.0,33.5,Complete
114,Damián Emiliano Martínez,Argentina,Cristian Gabriel Romero,6.5,41.6,10.1,48.9,Complete
115,Cristian Gabriel Romero,Argentina,Enzo Fernandez,9.3,48.9,27.9,48.1,Complete
116,Enzo Fernandez,Argentina,Julián Álvarez,33.9,51.1,112.1,58.1,Incomplete
119,Nahuel Molina Lucero,Argentina,Enzo Fernandez,67.0,60.9,64.7,49.3,Complete
120,Enzo Fernandez,Argentina,Rodrigo Javier De Paul,68.3,51.1,76.9,63.9,Complete
121,Rodrigo Javier De Paul,Argentina,Lionel Andrés Messi Cuccittini,79.8,70.1,79.8,54.3,Complete
122,Lionel Andrés Messi Cuccittini,Argentina,Ángel Fabián Di María Hernández,80.5,47.8,105.1,14.7,Complete
123,Ángel Fabián Di María Hernández,Argentina,Lionel Andrés Messi Cuccittini,106.4,16.2,106.4,39.1,Incomplete
124,Ángel Fabián Di María Hernández,Argentina,Rodrigo Javier De Paul,101.9,13.0,96.7,23.7,Complete
125,Rodrigo Javier De Paul,Argentina,Lionel Andrés Messi Cuccittini,96.7,24.7,97.8,33.7,Complete
127,Nicolás Hernán Otamendi,Argentina,,35.4,31.2,74.5,28.6,Incomplete
135,Damián Emiliano Martínez,Argentina,Nicolás Hernán Otamendi,4.8,42.3,22.1,24.7,Complete
136,Nicolás Hernán Otamendi,Argentina,Enzo Fernandez,22.3,23.0,31.3,26.0,Complete
137,Enzo Fernandez,Argentina,Nicolás Hernán Otamendi,31.5,26.0,23.6,19.6,Complete
138,Nicolás Hernán Otamendi,Argentina,Cristian Gabriel Romero,23.4,21.5,14.8,51.3,Complete
139,Cristian Gabriel Romero,Argentina,Julián Álvarez,16.5,55.1,57.8,43.8,Complete
140,Julián Álvarez,Argentina,Lionel Andrés Messi Cuccittini,57.6,43.6,52.5,56.2,Complete
141,Lionel Andrés Messi Cuccittini,Argentina,Julián Álvarez,52.5,56.4,59.5,52.6,Complete
142,Julián Álvarez,Argentina,Lionel Andrés Messi Cuccittini,59.5,52.6,56.1,55.5,Incomplete
143,Alexis Mac Allister,Argentina,Ángel Fabián Di María Hernández,63.8,33.7,79.2,10.4,Complete
144,Ángel Fabián Di María Hernández,Argentina,Lionel Andrés Messi Cuccittini,86.5,22.2,87.1,51.9,Complete
145,Lionel Andrés Messi Cuccittini,Argentina,Julián Álvarez,95.2,48.5,104.9,35.2,Incomplete
146,Nicolás Alejandro Tagliafico,Argentina,Ángel Fabián Di María Hernández,94.8,20.5,109.1,21.5,Pass Offside
151,Julián Álvarez,Argentina,Rodrigo Javier De Paul,46.7,24.5,45.6,35.2,Complete
152,Rodrigo Javier De Paul,Argentina,Alexis Mac Allister,52.7,39.9,62.9,23.5,Complete
153,Alexis Mac Allister,Argentina,Ángel Fabián Di María Hernández,64.4,20.7,75.6,9.6,Complete
154,Ángel Fabián Di María Hernández,Argentina,Nicolás Alejandro Tagliafico,76.4,6.8,55.7,4.9,Complete
155,Nicolás Alejandro Tagliafico,Argentina,Alexis Mac Allister,53.7,4.0,62.9,13.6,Complete
156,Alexis Mac Allister,Argentina,Enzo Fernandez,63.2,17.3,56.1,33.5,Complete
157,Enzo Fernandez,Argentina,Nahuel Molina Lucero,55.2,37.6,66.8,71.4,Complete
158,Nahuel Molina Lucero,Argentina,Cristian Gabriel Romero,68.1,72.4,47.3,61.8,Complete
159,Cristian Gabriel Romero,Argentina,Nicolás Hernán Otamendi,47.3,57.5,51.2,25.6,Complete
160,Nicolás Hernán Otamendi,Argentina,Ángel Fabián Di María Hernández,62.3,20.9,77.3,3.1,Complete
161,Ángel Fabián Di María Hernández,Argentina,Nicolás Alejandro Tagliafico,76.2,2.3,62.5,5.3,Complete
162,Nicolás Alejandro Tagliafico,Argentina,Enzo Fernandez,62.3,5.7,57.2,17.7,Complete
163,Enzo Fernandez,Argentina,Nicolás Hernán Otamendi,57.6,17.7,47.3,22.0,Complete
164,Nicolás Hernán Otamendi,Argentina,Enzo Fernandez,46.9,23.0,48.4,27.1,Complete
165,Enzo Fernandez,Argentina,Cristian Gabriel Romero,47.8,28.4,42.4,47.0,Complete
166,Cristian Gabriel Romero,Argentina,Ángel Fabián Di María Hernández,52.9,53.2,68.3,3.4,Complete
167,Ángel Fabián Di María Hernández,Argentina,Nicolás Hernán Otamendi,68.3,3.4,56.3,12.8,Complete
168,Nicolás Hernán Otamendi,Argentina,Nahuel Molina Lucero,54.2,17.0,91.8,78.6,Out
176,Lionel Andrés Messi Cuccittini,Argentina,Rodrigo Javier De Paul,89.3,58.8,110.2,56.8,Complete
177,Rodrigo Javier De Paul,Argentina,Lionel Andrés Messi Cuccittini,110.2,56.8,106.4,45.5,Complete
179,Alexis Mac Allister,Argentina,,55.0,18.5,82.4,27.1,Incomplete
200,Damián Emiliano Martínez,Argentina,Cristian Gabriel Romero,4.3,36.3,8.6,47.8,Complete
201,Cristian Gabriel Romero,Argentina,Enzo Fernandez,14.6,49.1,29.6,47.8,Complete
202,Enzo Fernandez,Argentina,Nicolás Hernán Otamendi,31.7,48.5,25.5,24.3,Complete
203,Nicolás Hernán Otamendi,Argentina,Nicolás Alejandro Tagliafico,29.4,22.8,42.4,5.3,Complete
204,Nicolás Alejandro Tagliafico,Argentina,Nicolás Hernán Otamendi,42.0,6.1,32.8,17.7,Complete
205,Nicolás Hernán Otamendi,Argentina,Cristian Gabriel Romero,32.4,20.3,30.0,47.8,Complete
206,Cristian Gabriel Romero,Argentina,Rodrigo Javier De Paul,33.4,51.3,45.4,51.5,Complete
207,Rodrigo Javier De Paul,Argentina,Cristian Gabriel Romero,45.0,52.3,33.6,54.5,Complete
208,Cristian Gabriel Romero,Argentina,Nahuel Molina Lucero,33.4,56.8,48.6,74.8,Complete
209,Nahuel Molina Lucero,Argentina,Rodrigo Javier De Paul,50.1,75.2,41.6,62.4,Complete
210,Rodrigo Javier De Paul,Argentina,Nicolás Hernán Otamendi,41.3,62.0,40.1,23.7,Complete
211,Nicolás Hernán Otamendi,Argentina,Ángel Fabián Di María Hernández,61.9,19.8,65.9,1.9,Complete
212,Ángel Fabián Di María Hernández,Argentina,Nicolás Hernán Otamendi,65.5,2.5,51.2,14.5,Complete
213,Nicolás Hernán Otamendi,Argentina,Cristian Gabriel Romero,48.4,14.7,39.2,40.1,Complete
214,Cristian Gabriel Romero,Argentina,Rodrigo Javier De Paul,40.9,47.2,49.9,48.3,Complete
215,Rodrigo Javier De Paul,Argentina,Cristian Gabriel Romero,49.9,48.3,39.6,47.0,Complete
216,Cristian Gabriel Romero,Argentina,Nicolás Hernán Otamendi,39.8,46.6,45.2,26.5,Complete
217,Nicolás Hernán Otamendi,Argentina,Enzo Fernandez,49.3,22.8,54.8,32.9,Complete
218,Enzo Fernandez,Argentina,Lionel Andrés Messi Cuccittini,56.1,33.9,71.1,56.4,Complete
219,Lionel Andrés Messi Cuccittini,Argentina,Nahuel Molina Lucero,89.5,65.0,99.5,74.6,Complete
220,Nahuel Molina Lucero,Argentina,Rodrigo Javier De Paul,94.4,74.8,74.5,69.7,Complete
221,Rodrigo Javier De Paul,Argentina,Nicolás Hernán Otamendi,73.9,68.2,65.9,33.9,Complete
222,Nicolás Hernán Otamendi,Argentina,Enzo Fernandez,65.9,32.0,74.7,33.3,Complete
223,Enzo Fernandez,Argentina,Nicolás Hernán Otamendi,74.7,33.3,64.9,30.9,Complete
224,Nicolás Hernán Otamendi,Argentina,Enzo Fernandez,64.2,32.2,68.5,23.0,Complete
225,Enzo Fernandez,Argentina,Cristian Gabriel Romero,68.7,22.6,54.8,41.6,Complete
226,Cristian Gabriel Romero,Argentina,Rodrigo Javier De Paul,54.6,46.1,56.7,64.7,Complete
227,Rodrigo Javier De Paul,Argentina,Enzo Fernandez,57.0,64.5,69.6,53.8,Complete
228,Alexis Mac Allister,Argentina,Julián Álvarez,92.0,35.2,94.2,47.0,Complete
229,Julián Álvarez,Argentina,Ángel Fabián Di María Hernández,94.2,47.0,112.6,11.5,Complete
239,Cristian Gabriel Romero,Argentina,Ángel Fabián Di María Hernández,14.4,53.0,26.6,47.4,Complete
240,Julián Álvarez,Argentina,Alexis Mac Allister,36.9,48.5,32.4,34.4,Complete
241,Alexis Mac Allister,Argentina,Nicolás Alejandro Tagliafico,38.8,29.5,22.5,17.3,Complete
242,Nicolás Alejandro Tagliafico,Argentina,,22.5,17.0,25.9,14.5,Incomplete
243,Nicolás Alejandro Tagliafico,Argentina,Alexis Mac Allister,34.9,0.1,50.3,2.9,Incomplete
250,Julián Álvarez,Argentina,Alexis Mac Allister,63.4,16.4,55.0,19.0,Complete
251,Alexis Mac Allister,Argentina,Enzo Fernandez,58.5,17.7,54.4,24.3,Complete
252,Enzo Fernandez,Argentina,Nicolás Alejandro Tagliafico,54.4,24.3,55.0,13.4,Complete
253,Nicolás Alejandro Tagliafico,Argentina,Ángel Fabián Di María Hernández,55.0,12.8,58.0,2.5,Complete
254,Ángel Fabián Di María Hernández,Argentina,Alexis Mac Allister,45.0,4.0,45.4,10.8,Incomplete
257,Damián Emiliano Martínez,Argentina,Julián Álvarez,28.3,41.2,88.6,63.9,Incomplete
259,Enzo Fernandez,Argentina,Lionel Andrés Messi Cuccittini,77.9,57.5,81.1,73.9,Complete
260,Lionel Andrés Messi Cuccittini,Argentina,,120.0,80.0,116.4,43.6,Incomplete
264,Alexis Mac Allister,Argentina,Nicolás Alejandro Tagliafico,44.3,23.9,34.7,21.1,Complete
265,Nicolás Alejandro Tagliafico,Argentina,Enzo Fernandez,34.7,20.5,38.8,26.7,Complete
266,Enzo Fernandez,Argentina,Nahuel Molina Lucero,39.6,28.0,42.2,53.6,Complete
267,Nahuel Molina Lucero,Argentina,Julián Álvarez,63.4,61.8,75.4,38.4,Complete
268,Julián Álvarez,Argentina,Lionel Andrés Messi Cuccittini,75.6,38.9,62.5,42.9,Complete
269,Lionel Andrés Messi Cuccittini,Argentina,Alexis Mac Allister,81.8,38.6,91.4,29.2,Complete
270,Alexis Mac Allister,Argentina,Ángel Fabián Di María Hernández,92.9,27.7,105.1,13.8,Complete
271,Ángel Fabián Di María Hernández,Argentina,Julián Álvarez,106.8,12.8,111.1,79.5,Out
274,Nahuel Molina Lucero,Argentina,Julián Álvarez,77.3,68.0,88.2,60.0,Incomplete
277,Enzo Fernandez,Argentina,Nicolás Alejandro Tagliafico,64.4,23.9,65.7,5.3,Complete
278,Nicolás Alejandro Tagliafico,Argentina,Nicolás Hernán Otamendi,60.8,4.6,32.1,15.1,Complete
279,Nicolás Hernán Otamendi,Argentina,Damián Emiliano Martínez,23.8,17.7,8.6,36.1,Complete
280,Damián Emiliano Martínez,Argentina,Cristian Gabriel Romero,7.8,38.2,8.8,54.5,Complete
281,Cristian Gabriel Romero,Argentina,Rodrigo Javier De Paul,19.7,56.4,36.2,51.5,Complete
282,Rodrigo Javier De Paul,Argentina,Lionel Andrés Messi Cuccittini,37.9,60.3,45.6,59.4,Complete
283,Lionel Andrés Messi Cuccittini,Argentina,Rodrigo Javier De Paul,45.8,59.4,64.4,73.5,Complete
284,Rodrigo Javier De Paul,Argentina,Lionel Andrés Messi Cuccittini,70.0,65.0,68.1,55.5,Complete
285,Lionel Andrés Messi Cuccittini,Argentina,Alexis Mac Allister,68.1,54.5,81.1,29.9,Complete
286,Alexis Mac Allister,Argentina,Lionel Andrés Messi Cuccittini,81.8,31.4,80.7,45.1,Complete
287,Lionel Andrés Messi Cuccittini,Argentina,Ángel Fabián Di María Hernández,92.7,47.6,116.8,7.4,Complete
288,Ángel Fabián Di María Hernández,Argentina,Alexis Mac Allister,107.9,8.3,91.4,11.9,Complete
289,Alexis Mac Allister,Argentina,Enzo Fernandez,93.1,11.9,87.1,18.8,Complete
290,Enzo Fernandez,Argentina,Alexis Mac Allister,87.1,18.1,90.8,2.5,Complete
291,Alexis Mac Allister,Argentina,Nicolás Alejandro Tagliafico,90.8,2.5,98.5,18.3,Complete
292,Nicolás Alejandro Tagliafico,Argentina,Alexis Mac Allister,100.4,20.5,90.1,20.5,Complete
294,Nahuel Molina Lucero,Argentina,Lionel Andrés Messi Cuccittini,76.2,71.4,97.8,68.2,Complete
295,Alexis Mac Allister,Argentina,Enzo Fernandez,87.1,30.5,82.2,44.0,Complete
296,Enzo Fernandez,Argentina,Julián Álvarez,85.8,45.5,93.3,52.6,Complete
297,Julián Álvarez,Argentina,Enzo Fernandez,93.3,52.6,87.8,51.1,Complete
298,Enzo Fernandez,Argentina,Rodrigo Javier De Paul,87.8,51.3,90.5,70.7,Complete
299,Rodrigo Javier De Paul,Argentina,Ángel Fabián Di María Hernández,91.8,68.6,109.6,29.2,Incomplete
301,Nicolás Hernán Otamendi,Argentina,Cristian Gabriel Romero,65.1,36.3,55.0,51.3,Complete
302,Cristian Gabriel Romero,Argentina,Rodrigo Javier De Paul,53.7,58.3,65.9,54.9,Complete
303,Rodrigo Javier De Paul,Argentina,Enzo Fernandez,68.7,55.5,63.8,48.3,Complete
304,Enzo Fernandez,Argentina,Nicolás Hernán Otamendi,62.7,42.7,52.3,27.1,Complete
305,Nicolás Hernán Otamendi,Argentina,Nicolás Alejandro Tagliafico,52.3,26.5,65.9,6.6,Complete
306,Nicolás Alejandro Tagliafico,Argentina,Ángel Fabián Di María Hernández,67.7,6.4,75.8,2.3,Complete
307,Ángel Fabián Di María Hernández,Argentina,Alexis Mac Allister,74.9,3.8,92.0,15.1,Complete
309,Nicolás Alejandro Tagliafico,Argentina,Alexis Mac Allister,66.8,4.6,70.9,10.2,Complete
310,Alexis Mac Allister,Argentina,Ángel Fabián Di María Hernández,72.4,7.8,74.7,2.9,Complete
312,Nicolás Alejandro Tagliafico,Argentina,Julián Álvarez,73.0,6.1,80.9,19.2,Incomplete
315,Cristian Gabriel Romero,Argentina,Damián Emiliano Martínez,31.3,52.8,9.9,54.1,Complete
316,Damián Emiliano Martínez,Argentina,Nahuel Molina Lucero,11.0,56.6,31.9,70.5,Complete
317,Nahuel Molina Lucero,Argentina,Rodrigo Javier De Paul,35.6,72.9,43.7,66.2,Complete
318,Rodrigo Javier De Paul,Argentina,Enzo Fernandez,49.0,67.5,44.3,49.3,Complete
319,Enzo Fernandez,Argentina,Nahuel Molina Lucero,70.4,52.1,81.3,74.4,Complete
320,Nahuel Molina Lucero,Argentina,Rodrigo Javier De Paul,81.3,73.3,67.0,71.8,Complete
321,Rodrigo Javier De Paul,Argentina,Cristian Gabriel Romero,63.2,70.9,42.8,62.2,Complete
322,Cristian Gabriel Romero,Argentina,Nicolás Hernán Otamendi,43.1,58.1,44.3,25.8,Complete
323,Nicolás Hernán Otamendi,Argentina,Enzo Fernandez,46.7,23.2,57.4,33.5,Complete
324,Enzo Fernandez,Argentina,Nicolás Hernán Otamendi,57.4,33.5,49.5,25.8,Complete
325,Nicolás Hernán Otamendi,Argentina,Enzo Fernandez,49.5,26.0,56.3,25.6,Complete
326,Enzo Fernandez,Argentina,Cristian Gabriel Romero,53.5,23.9,44.6,41.0,Complete
327,Cristian Gabriel Romero,Argentina,Rodrigo Javier De Paul,43.5,41.2,51.4,48.5,Complete
328,Rodrigo Javier De Paul,Argentina,Nicolás Hernán Otamendi,51.4,48.5,50.5,13.6,Complete
329,Nicolás Hernán Otamendi,Argentina,Cristian Gabriel Romero,52.5,15.1,40.1,33.5,Complete
330,Cristian Gabriel Romero,Argentina,Rodrigo Javier De Paul,39.6,36.3,55.5,44.2,Complete
331,Rodrigo Javier De Paul,Argentina,Lionel Andrés Messi Cuccittini,64.4,42.3,76.0,62.4,Complete
332,Lionel Andrés Messi Cuccittini,Argentina,Ángel Fabián Di María Hernández,80.3,57.7,101.2,8.9,Complete
333,Ángel Fabián Di María Hernández,Argentina,Lionel Andrés Messi Cuccittini,98.5,17.5,94.2,29.7,Complete
335,Enzo Fernandez,Argentina,Nicolás Alejandro Tagliafico,80.7,23.2,88.4,4.6,Complete
336,Nicolás Alejandro Tagliafico,Argentina,Enzo Fernandez,90.3,5.7,81.3,12.3,Complete
337,Enzo Fernandez,Argentina,Nicolás Alejandro Tagliafico,80.1,14.7,86.5,5.3,Complete
338,Nicolás Alejandro Tagliafico,Argentina,Ángel Fabián Di María Hernández,86.5,5.3,93.7,3.8,Complete
339,Ángel Fabián Di María Hernández,Argentina,Enzo Fernandez,87.3,4.6,74.1,8.1,Complete
340,Enzo Fernandez,Argentina,Cristian Gabriel Romero,74.7,10.0,54.0,39.9,Complete
341,Cristian Gabriel Romero,Argentina,Damián Emiliano Martínez,53.7,45.7,21.2,32.0,Complete
342,Damián Emiliano Martínez,Argentina,Nicolás Hernán Otamendi,21.2,32.0,27.9,22.4,Complete
343,Nicolás Hernán Otamendi,Argentina,Damián Emiliano Martínez,25.9,22.4,10.1,40.6,Complete
344,Damián Emiliano Martínez,Argentina,Cristian Gabriel Romero,9.7,45.1,12.9,55.5,Complete
345,Cristian Gabriel Romero,Argentina,Nahuel Molina Lucero,12.5,55.3,21.5,73.3,Complete
346,Nahuel Molina Lucero,Argentina,,21.5,73.3,27.0,79.1,Out
348,Nahuel Molina Lucero,Argentina,Damián Emiliano Martínez,5.8,54.5,4.1,42.1,Complete
349,Damián Emiliano Martínez,Argentina,,4.1,42.1,51.0,73.1,Incomplete
351,Nahuel Molina Lucero,Argentina,Alexis Mac Allister,25.9,71.8,41.6,59.2,Complete
352,Alexis Mac Allister,Argentina,Lionel Andrés Messi Cuccittini,41.8,59.0,53.1,61.8,Complete
353,Lionel Andrés Messi Cuccittini,Argentina,Julián Álvarez,52.9,61.8,62.5,68.2,Complete
354,Julián Álvarez,Argentina,Alexis Mac Allister,63.2,68.2,99.3,54.9,Complete
355,Alexis Mac Allister,Argentina,Ángel Fabián Di María Hernández,99.3,54.9,111.8,32.1,Complete
361,Nicolás Alejandro Tagliafico,Argentina,Ángel Fabián Di María Hernández,44.3,7.4,44.3,3.1,Complete
362,Ángel Fabián Di María Hernández,Argentina,Enzo Fernandez,45.2,4.0,42.0,14.1,Complete
363,Enzo Fernandez,Argentina,Alexis Mac Allister,42.0,13.8,37.7,9.6,Complete
364,Alexis Mac Allister,Argentina,Enzo Fernandez,45.2,14.7,43.1,24.1,Complete
365,Enzo Fernandez,Argentina,Lionel Andrés Messi Cuccittini,43.1,25.0,48.0,42.7,Complete
366,Lionel Andrés Messi Cuccittini,Argentina,Rodrigo Javier De Paul,48.0,42.5,38.1,39.7,Complete
367,Rodrigo Javier De Paul,Argentina,Nicolás Hernán Otamendi,38.1,39.7,33.2,24.7,Complete
368,Nicolás Hernán Otamendi,Argentina,Cristian Gabriel Romero,32.8,24.3,25.1,45.9,Complete
369,Cristian Gabriel Romero,Argentina,Enzo Fernandez,25.1,45.7,38.8,44.9,Complete
370,Enzo Fernandez,Argentina,Nicolás Hernán Otamendi,39.6,43.8,33.6,24.7,Complete
371,Nicolás Hernán Otamendi,Argentina,Nicolás Alejandro Tagliafico,33.9,23.9,41.6,9.3,Complete
372,Nicolás Alejandro Tagliafico,Argentina,Nicolás Hernán Otamendi,44.8,8.1,28.9,15.8,Complete
373,Nicolás Hernán Otamendi,Argentina,Nicolás Alejandro Tagliafico,30.6,14.5,38.8,2.1,Complete
374,Nicolás Alejandro Tagliafico,Argentina,Alexis Mac Allister,38.6,3.4,54.0,7.8,Complete
375,Ángel Fabián Di María Hernández,Argentina,Nahuel Molina Lucero,53.5,7.0,46.7,63.9,Complete
376,Nahuel Molina Lucero,Argentina,Rodrigo Javier De Paul,46.7,63.7,45.2,49.1,Complete
377,Rodrigo Javier De Paul,Argentina,Cristian Gabriel Romero,43.5,50.0,26.4,48.9,Complete
378,Cristian Gabriel Romero,Argentina,Enzo Fernandez,26.4,48.7,37.5,44.6,Complete
379,Enzo Fernandez,Argentina,Rodrigo Javier De Paul,37.5,44.6,49.7,51.7,Incomplete
383,Cristian Gabriel Romero,Argentina,Lionel Andrés Messi Cuccittini,33.4,54.9,51.4,72.9,Complete
394,Ángel Fabián Di María Hernández,Argentina,Julián Álvarez,53.1,11.7,55.0,17.7,Complete
395,Julián Álvarez,Argentina,Enzo Fernandez,55.2,18.5,48.2,20.7,Complete
396,Enzo Fernandez,Argentina,Rodrigo Javier De Paul,48.2,20.7,49.3,31.2,Complete
397,Rodrigo Javier De Paul,Argentina,Lionel Andrés Messi Cuccittini,49.3,31.2,53.3,39.1,Complete
398,Lionel Andrés Messi Cuccittini,Argentina,Nicolás Hernán Otamendi,44.6,28.4,35.8,23.0,Complete
399,Nicolás Hernán Otamendi,Argentina,Nicolás Alejandro Tagliafico,35.8,22.6,48.0,3.6,Complete
400,Nicolás Alejandro Tagliafico,Argentina,Nicolás Hernán Otamendi,48.0,3.1,32.1,16.4,Complete
401,Nicolás Hernán Otamendi,Argentina,Cristian Gabriel Romero,30.9,19.8,26.6,46.3,Complete
402,Cristian Gabriel Romero,Argentina,Nicolás Hernán Otamendi,27.9,47.4,26.6,29.0,Complete
403,Nicolás Hernán Otamendi,Argentina,Enzo Fernandez,26.6,26.7,37.1,32.0,Complete
404,Enzo Fernandez,Argentina,Nahuel Molina Lucero,37.1,32.0,45.2,72.7,Complete
